Lepr	4.00597847611857	7.32734472695862e-87
Gck	-3.55883316433054	1.75506543375822e-79
Gstm3	-3.50327686491241	3.11709008041149e-57
Ifi27l2b	-3.10797346791619	3.39331134509382e-55
Aacs	-2.76689267868807	1.03932104291582e-53
Scand1	-4.72356267829606	1.69238236853212e-51
Saa2	-3.08212000361194	2.97777774719415e-51
Serpina3e-ps	3.23772524266008	8.95940330893984e-51
Themis	-3.02875597664154	6.20141971795626e-49
Slc22a27	-3.64104736081463	1.49044289471664e-48
4930519F09Rik	-3.38200793083306	1.96720746941839e-48
BC049987	-3.0709026217538	4.64264579992475e-46
Gm44364	-2.7580460259518	8.53266782228263e-45
Mmp11	-2.43462991497289	5.41552758103841e-42
Aqp8	-2.31229177490494	3.87396517361729e-41
Cidea	-5.71046398426046	7.18020045993061e-41
Uap1l1	-2.80807542570451	2.32431586969821e-40
Gm45044	3.12267008974393	1.71575945172251e-39
Ucp2	-2.2402885927276	2.37344632906574e-39
Cyp4a31	2.2322940896108	2.69170640024689e-39
H2afj	-2.39480677737078	2.80593702173851e-39
Hspb1	-2.53304363273389	2.18695924799178e-38
Anxa2	-2.19702421567309	6.9265345134955e-37
Gstm2-ps1	-2.23156096804769	1.64926163484923e-36
Thrsp	-3.29294241982468	5.9794645159728e-35
Lgals1	-3.52278937186468	1.74110742008063e-34
Gamt	-2.11818994954496	2.17827775245506e-34
Plin4	-2.91810931765935	1.557304066927e-33
Cebpb	-2.09565489365807	1.78925053448968e-33
B930025P03Rik	2.23374674048967	2.11345245124324e-32
Orm3	-3.91762675168344	2.4682647883199e-32
Msmo1	-1.94665110611991	2.75755416448106e-31
Saa1	-2.0233544724521	3.24570293408628e-31
Orm2	-2.37768621580598	6.17428287638438e-31
Mogat1	-3.02157653490358	9.61159885925149e-31
Chchd10	-2.03272579901527	2.3511132099814e-30
Wfdc2	-2.79099083348245	2.3513209882775e-30
Kcnb2	-2.50910641820583	2.59523927949677e-30
Slc22a29	-4.33387607307149	3.79147139037035e-30
Tpm2	-2.09225253774041	5.76480435733283e-30
Irf6	2.31624994391074	1.15898037875671e-29
0610012G03Rik	-2.04893968819722	2.62153054412398e-29
H2-Q1	-1.95709256387721	3.17930198690559e-29
Tceal8	-1.927610583769	5.75341700550373e-29
Ehhadh	2.14873864404029	6.89771599338275e-29
Ubd	-4.27186255003071	8.53962294224937e-29
Gm13456	1.89413148490428	2.69647866546959e-28
Gstm1	-1.99054966232839	2.90357624299271e-28
Gm45091	-2.50824986678586	3.7617219790387e-28
C730036E19Rik	-1.88339767785897	9.25776467671213e-28
Col3a1	-1.99977871132808	1.34831972729351e-27
3930402G23Rik	4.31782368872637	1.49151293630562e-27
S100a11	-3.00516284011777	2.09478150068969e-27
Slc13a3	-1.96546026593876	7.57740108533415e-27
Chrna2	1.90951824449937	1.01073053997864e-26
Nsdhl	-1.82653261873651	1.88679187997723e-26
Gm31522	-2.42259848265274	2.37403756064275e-26
Cxcl1	-2.5682210134841	3.26977067228594e-26
Fam19a2	-5.45452673566649	2.37667521385678e-25
Fitm1	-1.74346885944875	2.50348038003503e-25
Adgrv1	-2.24562861365548	2.783745885311e-25
Snhg11	-1.88064004668331	2.97282183981097e-25
Fabp4	-2.23151801022543	4.03376465465214e-25
9130409I23Rik	-1.99342220840682	6.25306277767417e-25
Hmgcs1	-1.77132823651201	1.07236250569344e-24
Hcn3	-1.72444188722546	1.33473947980331e-24
Cyp4a14	1.87805146057685	1.52464472306718e-24
Gm44986	-1.74520981582738	1.62952177460526e-24
Zc3h7a	-1.90769984496592	1.77147538893901e-24
Cps1	1.85169721259684	3.42614086928879e-24
Atox1	-1.68387327990386	5.84254763417192e-24
Apom	1.67488214709139	6.81793932814444e-24
Pmm1	-2.2554324716201	7.60595703085656e-24
Gpx4-ps2	-1.66698307247938	8.34469880027978e-24
Mvd	-2.2794679538833	9.12625194117133e-24
Gm15611	4.71068780509228	1.31186078119864e-23
Lect2	-1.65586365695141	3.72038331225387e-23
Gm31121	3.0936214605105	6.00449786104909e-23
Ciart	-2.84501732006532	8.25623260887462e-23
Osbpl3	-1.63209850031727	1.11628941308122e-22
Tmem189	-1.72586985694446	1.6109617049858e-22
Gstm2	-1.61370361108786	2.41824713949426e-22
Tsku	-2.358944281788	2.53220227997516e-22
Jund	-1.59200320521313	5.32456373921472e-22
Gm11175	-1.59828597578807	5.40273534777549e-22
Egfr	1.83042798223496	7.18404130922188e-22
Agap2	1.99506329181747	1.28152383721827e-21
Gprc5b	-3.09432183719805	1.35648758164384e-21
5830462I19Rik	1.72844606978322	1.79600848405185e-21
